time;dt;imu_reseted;gps_position_received;initial_heading;gps_x;gps_y;gps_speed;gps_says_robot_moving;moving_motors;om_gauche;om_droit;meca_position_measure_received;meca_fiab;meca_position_x;meca_position_y;meca_velocity_x;visu_position_measure_received;visu_fiab;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_received;imu_theta;imu_yaw_velocity;kalman_position_x;kalman_position_y
1471008701041;0.01;0.0;0;2.488601;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.391608;7.367313;-1.207867;0;0.0001;0.0001;0.0;0.0;0.0;1;0.86318;-0.183072;6.563473;-0.812201
1471008701051;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;1;0.590909;7.450342;-1.069333;1;0.371822;0.015435;0.0;0.0;0.0;1;0.862208;-0.097264;6.564192;-0.807767
1471008701061;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.860148;-0.20597;6.566202;-0.805313
1471008701071;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.859098;-0.105037;6.568217;-0.802863
1471008701081;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.856832;-0.226597;6.570235;-0.800416
1471008701091;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.854704;-0.212789;6.572259;-0.797974
1471008701101;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.853646;-0.105795;6.574289;-0.795536
1471008701111;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.85184;-0.180563;6.576321;-0.793101
1471008701121;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.850119;-0.17214;6.578359;-0.79067
1471008701131;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.849284;-0.083517;6.580401;-0.788243
1471008701141;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.025085;-0.830411;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.847711;-0.157315;6.582445;-0.785817
1471008701151;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;1;1.0;7.025085;-0.830411;0.294493;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.84693;-0.078034;6.583205;-0.784904
1471008701161;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.044401;-0.808178;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.844913;-0.201707;6.585108;-0.782653
1471008701171;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.044401;-0.808178;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.842961;-0.195206;6.587015;-0.780407
1471008701181;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.044401;-0.808178;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.842006;-0.09549;6.588928;-0.778164
1471008701191;0.01;0.0;0;2.488582;0.0;0.0;1.798;1;1;63;29;0;1.0;7.044401;-0.808178;0.0001;0;0.590909;7.450342;-1.069333;0;0.0001;0.0001;0.0;0.0;0.0;1;0.840098;-0.190783;6.590843;-0.775924
